,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
121,2610516799.0,33.9,74.6,51.1,86.0,32,248144.0,Pass,Unsuccessful,6
123,2610516957.0,42.8,8.3,55.5,8.5,167,69778.0,Pass,Successful,6
124,2610517001.0,55.5,8.5,60.4,27.9,167,331254.0,Pass,Successful,6
125,2610517079.0,60.1,30.9,69.7,42.1,167,365409.0,Pass,Successful,6
126,2610517207.0,76.2,38.0,89.5,95.1,167,113069.0,Pass,Successful,6
127,2610517247.0,91.5,90.7,79.5,89.7,167,136741.0,Pass,Successful,7
128,2610517277.0,79.0,89.0,76.1,76.8,167,402664.0,Pass,Successful,7
129,2610517393.0,74.9,76.5,67.8,55.4,167,101374.0,Pass,Successful,7
130,2610517473.0,76.3,71.4,81.9,95.2,167,303139.0,Pass,Successful,7
131,2610517509.0,84.1,95.1,76.3,90.9,167,136741.0,Pass,Successful,7
132,2610517575.0,75.9,90.5,69.8,73.6,167,402664.0,Pass,Successful,7
133,2610517625.0,70.9,69.4,98.9,32.6,167,303139.0,Pass,Successful,7
134,2610517647.0,98.9,32.6,93.5,41.1,167,69778.0,Pass,Successful,7
141,2610518289.0,99.5,99.5,96.5,53.9,167,365409.0,Pass,Unsuccessful,7
144,2610518825.0,6.0,51.9,12.7,65.8,32,260843.0,Pass,Successful,8
145,2610518839.0,12.7,65.8,8.1,51.4,32,22079.0,Pass,Successful,8
146,2610518867.0,8.1,51.4,47.7,46.7,32,260843.0,Pass,Successful,8
147,2610518877.0,47.7,46.7,41.3,39.6,32,439584.0,Pass,Unsuccessful,8
149,2610518927.0,29.9,53.3,38.0,54.6,32,22079.0,Pass,Unsuccessful,8
150,2610518967.0,61.6,46.5,71.6,43.9,167,303139.0,Pass,Successful,8
152,2610519033.0,76.6,47.6,86.8,41.1,167,365409.0,Pass,Unsuccessful,8
154,2610519109.0,12.2,59.8,24.1,94.7,32,22079.0,Pass,Unsuccessful,8
156,2610519219.0,63.6,6.6,52.3,18.8,167,331254.0,Pass,Successful,8
157,2610519291.0,52.5,26.2,47.3,59.6,167,313171.0,Pass,Successful,8
158,2610519305.0,59.5,72.5,61.2,75.8,167,402664.0,Pass,Unsuccessful,8
160,2610519451.0,80.8,86.0,89.9,90.5,167,136741.0,Pass,Successful,8
161,2610519485.0,90.9,82.4,86.0,62.2,167,113069.0,Pass,Successful,8
164,2610519507.0,86.0,62.2,88.5,61.0,167,136741.0,Pass,Unsuccessful,9
166,2610519685.0,58.2,100.0,47.2,88.8,167,402664.0,Pass,Successful,9
167,2610519709.0,47.2,88.8,54.5,93.1,167,313171.0,Pass,Successful,9
168,2610519789.0,54.2,92.9,31.9,82.1,167,402664.0,Pass,Successful,9
169,2610519853.0,31.8,69.9,31.8,39.5,167,313171.0,Pass,Successful,9
170,2610520081.0,45.5,28.9,52.2,3.2,167,303139.0,Pass,Successful,9
171,2610520223.0,54.2,6.9,45.0,35.5,167,69778.0,Pass,Successful,9
172,2610520253.0,51.6,39.4,57.6,35.3,167,313171.0,Pass,Successful,9
173,2610520379.0,61.5,36.8,52.4,55.9,167,303139.0,Pass,Successful,9
174,2610520451.0,53.7,53.2,59.8,19.4,167,101374.0,Pass,Successful,9
175,2610520475.0,59.8,19.4,62.7,27.4,167,69778.0,Pass,Successful,9
176,2610520553.0,62.7,27.4,58.4,5.9,167,303139.0,Pass,Successful,9
177,2610520639.0,56.4,14.9,47.0,43.9,167,69778.0,Pass,Successful,9
178,2610520671.0,48.1,50.8,46.3,72.5,167,313171.0,Pass,Successful,9
179,2610520749.0,46.3,72.5,56.5,90.5,167,402664.0,Pass,Successful,10
180,2610520791.0,51.8,88.3,40.2,75.7,167,136741.0,Pass,Successful,10
181,2610520815.0,40.2,75.7,54.2,73.1,167,402664.0,Pass,Unsuccessful,10
